epoch,selection_epoch,negative_mode,trajectory_id,state_index,global_state_index,target_parent_asin,positive_parent_asin,negative_parent_asin,survivor_pool_size,eligible_negative_pool_size,excluded_product_split_count,candidate_pre_pool_size,sampler_type,negative_in_survivor_set,indistinguishable,trajectory_state_weight,evidence_weight,sampling_weight,ambiguity_weight
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B08Z2S4Z7S,437,342,95,128,near_match,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B00965MNAU,437,342,95,128,near_match,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B01CPN458C,437,342,95,128,near_match,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B07KQ4VZYW,437,342,95,128,near_match,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B00R58PKX2,437,342,95,128,near_match,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B08G28BNPD,437,342,95,128,near_match,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B01MAZC52S,437,342,95,128,near_match,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B00IS00054,437,342,95,128,near_match,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B00DNO2Y68,437,342,95,128,near_match,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B07TN3JPZ7,437,342,95,128,near_match,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B00AOJNNQU,437,342,95,128,near_match,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B07MJ848CF,437,342,95,128,near_match,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B00XVA6528,437,342,95,128,near_match,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B097S1Y6XT,437,342,95,128,near_match,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B009T1FT4S,437,342,95,128,near_match,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B00B5ZU8WO,437,342,95,128,near_match,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B01N369QT0,437,342,95,128,random,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B00A64F6U4,437,342,95,128,random,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B00T7EHW24,437,342,95,128,random,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B00HDH7JV6,437,342,95,128,random,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B08L63C8HG,437,342,95,128,random,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B07RJGWLY8,437,342,95,128,random,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B086XX9FKQ,437,342,95,128,random,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B016NBPXBK,437,342,95,128,random,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B0B76KNTGB,437,342,95,128,random,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B00774KF9S,437,342,95,128,random,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B079C72SK6,437,342,95,128,random,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B07FKNNRFK,437,342,95,128,random,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B00BIZXFMG,437,342,95,128,random,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B00MLTA0LC,437,342,95,128,random,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B09G8B9YSY,437,342,95,128,random,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,0,0,B08BV2JPQW,B08BV2JPQW,B00G6CNFZ8,437,342,95,128,random,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
1,1,survivor_dynamic,0,1,1,B08BV2JPQW,B08BV2JPQW,B004VTP9TI,437,342,95,128,near_match,True,True,0.3333333432674408,0.3333333333333333,0.03125,0.1
