context_feature,item_feature,field_pair,positive_support,negative_support,learned_weight,absolute_weight
ctx:material=fabric,item:material=fabric,material×material,10237,81896,0.020013555884361267,0.020013555884361267
ctx:feature=imported,item:material=leather,feature×material,2490,137456,-0.02001342549920082,0.02001342549920082
ctx:material=nylon,item:material=nylon,material×material,6460,51680,0.020013418048620224,0.020013418048620224
ctx:category=women shoes,item:feature=is discontinued by manufacturer: no,category×feature,1736,38784,-0.020013321191072464,0.020013321191072464
ctx:feature=pull on closure,item:material=polyester,feature×material,2066,85192,-0.02001326158642769,0.02001326158642769
ctx:category=shirts t-shirts,item:material=cotton,category×material,6328,68480,-0.02001325786113739,0.02001325786113739
ctx:material=leather sole,item:material=leather sole,material×material,760,6080,0.020013242959976196,0.020013242959976196
ctx:feature=made in usa,item:feature=made in usa,feature×feature,435,3480,0.020013198256492615,0.020013198256492615
ctx:category=men shoes,item:color=color: black,category×color,624,18880,-0.020013146102428436,0.020013146102428436
ctx:feature=button closure,item:feature=button closure,feature×feature,3450,27600,0.020013121888041496,0.020013121888041496
ctx:feature=hand wash only,item:feature=imported,feature×feature,565,41424,-0.02001306042075157,0.02001306042075157
ctx:category=tops & tees t-shirts,item:color=color: grey,category×color,1888,32896,-0.020013026893138885,0.020013026893138885
ctx:feature=100% synthetic,item:material=leather,feature×material,364,37016,-0.02001301571726799,0.02001301571726799
ctx:category=shoes & jewelry women,item:price=missing,category×price,2424,22848,-0.020012982189655304,0.020012982189655304
ctx:material=wool,item:material=wool,material×material,2100,16800,0.020012978464365005,0.020012978464365005
ctx:feature=100% textile,item:feature=100% textile,feature×feature,791,6328,0.020012972876429558,0.020012972876429558
ctx:feature=rubber,item:feature=rubber,feature×feature,390,3120,0.020012972876429558,0.020012972876429558
ctx:feature=pull-on closure,item:feature=pull-on closure,feature×feature,285,2280,0.02001284994184971,0.02001284994184971
ctx:material=fabric,item:material=100% fabric,material×material,585,81896,0.02001284807920456,0.02001284807920456
ctx:feature=made in china,item:feature=made in china,feature×feature,212,1696,0.020012807101011276,0.020012807101011276
ctx:feature=100% synthetic,item:feature=100% synthetic,feature×feature,4627,37016,0.020012766122817993,0.020012766122817993
ctx:feature=snap closure,item:feature=snap closure,feature×feature,704,5632,0.020012760534882545,0.020012760534882545
ctx:feature=buckle closure,item:feature=buckle closure,feature×feature,467,3736,0.020012754946947098,0.020012754946947098
ctx:feature=imported,item:feature=button closure,feature×feature,646,137456,-0.020012686029076576,0.020012686029076576
ctx:category=women shoes,item:rating=5.0,category×rating,1360,38784,-0.02001267671585083,0.02001267671585083
ctx:style=department: boys,item:style=department: boys,style×style,188,1504,0.020012667402625084,0.020012667402625084
ctx:category=tops & tees t-shirts,item:price=20_35,category×price,368,32896,0.020012639462947845,0.020012639462947845
ctx:feature=100% mesh,item:feature=100% mesh,feature×feature,157,1256,0.020012598484754562,0.020012598484754562
ctx:material=100% rayon,item:material=100% rayon,material×material,172,1376,0.02001257985830307,0.02001257985830307
ctx:feature=zipper closure,item:price=missing,feature×price,2960,29336,-0.02001252956688404,0.02001252956688404
ctx:style=department: womens,item:material=leather,style×material,152,32528,-0.020012490451335907,0.020012490451335907
ctx:feature=manmade sole,item:material=100% leather,feature×material,469,9704,-0.020012391731142998,0.020012391731142998
ctx:material=leather,item:material=100% leather and synthetic,material×material,200,223968,0.02001238986849785,0.02001238986849785
ctx:category=women shoes,item:rating=3.0,category×rating,480,38784,0.020012369379401207,0.020012369379401207
ctx:category=tees & blouses t-shirts,item:material=cotton,category×material,1952,35136,-0.020012352615594864,0.020012352615594864
ctx:feature=textile and synthetic,item:feature=textile and synthetic,feature×feature,177,1416,0.020012319087982178,0.020012319087982178
ctx:feature=foam sole,item:feature=foam sole,feature×feature,220,1760,0.02001229114830494,0.02001229114830494
ctx:feature=100% manmade,item:feature=100% manmade,feature×feature,663,5304,0.020012274384498596,0.020012274384498596
ctx:category=shoes fashion sneakers,item:feature=imported,category×feature,2848,52544,-0.020012266933918,0.020012266933918
ctx:material=cotton,item:style=department: mens,material×style,145,261232,-0.02001226507127285,0.02001226507127285
ctx:material=fabric,item:material=fabric-and-synthetic,material×material,135,81896,0.020012259483337402,0.020012259483337402
ctx:feature=hand wash only,item:feature=hand wash only,feature×feature,5178,41424,0.020012255758047104,0.020012255758047104
ctx:category=bracelets link,item:price=missing,category×price,448,6144,-0.02001224458217621,0.02001224458217621
ctx:material=cotton,item:color=color: red,material×color,900,261232,0.02001223899424076,0.02001223899424076
ctx:feature=heather,item:feature=heather,feature×feature,125,1000,0.02001217007637024,0.02001217007637024
ctx:category=costumes & cosplay apparel costumes,item:material=100% polyester,category×material,488,16256,-0.020012136548757553,0.020012136548757553
"ctx:material=95% polyester, 5% spandex","item:material=95% polyester, 5% spandex",material×material,480,3840,0.020012129098176956,0.020012129098176956
ctx:feature=imported,item:price=20_35,feature×price,1094,137456,0.02001212164759636,0.02001212164759636
ctx:feature=button closure,item:price=missing,feature×price,2885,27600,-0.020012058317661285,0.020012058317661285
ctx:category=hats & caps baseball caps,item:price=missing,category×price,1664,20224,-0.020012028515338898,0.020012028515338898
ctx:feature=hand wash only,item:material=polyester,feature×material,1187,41424,-0.020011980086565018,0.020011980086565018
ctx:category=boots mid-calf,item:feature=rubber sole,category×feature,440,6784,-0.020011942833662033,0.020011942833662033
ctx:material=polyester,item:material=polyester lining,material×material,590,227088,0.020011931657791138,0.020011931657791138
ctx:category=dresses casual,item:color=color: blue,category×color,232,40384,0.02001192606985569,0.02001192606985569
ctx:feature=100% polyurethane,item:feature=100% polyurethane,feature×feature,231,1848,0.020011872053146362,0.020011872053146362
ctx:material=100% fabric,item:material=100% fabric,material×material,231,1848,0.020011868327856064,0.020011868327856064
ctx:category=rompers & overalls jumpsuits,item:price=missing,category×price,1072,10176,-0.02001185715198517,0.02001185715198517
ctx:color=color: white,item:rating=5.0,color×rating,847,33336,-0.02001185342669487,0.02001185342669487
ctx:category=boots ankle & bootie,item:popularity=4,category×popularity,464,19072,-0.02001184970140457,0.02001184970140457
ctx:feature=is discontinued by manufacturer: no,item:color=color: black,feature×color,1858,72744,-0.02001184970140457,0.02001184970140457
ctx:category=hiking & trekking hiking boots,item:price=missing,category×price,744,6784,-0.020011842250823975,0.020011842250823975
ctx:material=polyester,"item:material=90% polyester, 10% spandex",material×material,395,227088,0.02001182548701763,0.02001182548701763
ctx:material=nylon,"item:material=92% nylon, 8% spandex",material×material,140,51680,0.020011823624372482,0.020011823624372482
ctx:feature=machine wash,item:material=cotton,feature×material,2225,51208,-0.020011799409985542,0.020011799409985542
ctx:material=nylon,item:price=10_20,material×price,455,51680,0.020011771470308304,0.020011771470308304
ctx:category=jackets & vests down jackets & parkas,item:feature=zipper closure,category×feature,320,4672,-0.020011767745018005,0.020011767745018005
ctx:style=department: unisex-adult,item:style=department: unisex-adult,style×style,375,3000,0.02001176029443741,0.02001176029443741
ctx:color=color: white,item:color=color: white,color×color,4167,33336,0.02001175284385681,0.02001175284385681
ctx:feature=composite frame,item:feature=composite frame,feature×feature,164,1312,0.020011741667985916,0.020011741667985916
ctx:color=color: brown,item:feature=imported,color×feature,204,11088,-0.020011737942695618,0.020011737942695618
ctx:category=hats & caps baseball caps,item:feature=hook and loop closure,category×feature,304,20224,-0.02001173049211502,0.02001173049211502
ctx:category=running road running,item:material=leather,category×material,200,27008,0.02001171186566353,0.02001171186566353
ctx:category=handbags & wallets shoulder bags,item:rating=5.0,category×rating,416,12928,-0.02001170441508293,0.02001170441508293
ctx:category=sleep & lounge robes,item:feature=tie closure,category×feature,648,9216,-0.02001170441508293,0.02001170441508293
ctx:material=100% cotton,item:rating=3.5,material×rating,373,30176,0.020011700689792633,0.020011700689792633
ctx:feature=plastic frame,item:feature=plastic frame,feature×feature,578,4624,0.020011693239212036,0.020011693239212036
ctx:style=department: mens,item:style=department: mens,style×style,1499,11992,0.02001168206334114,0.02001168206334114
ctx:feature=is discontinued by manufacturer: no,item:rating=3.0,feature×rating,812,72744,0.020011678338050842,0.020011678338050842
ctx:material=leather,item:price=35_50,material×price,595,223968,0.020011669024825096,0.020011669024825096
ctx:material=polyester,item:feature=is discontinued by manufacturer: no,material×feature,355,227088,-0.020011665299534798,0.020011665299534798
ctx:material=rayon,item:material=rayon,material×material,2865,22920,0.02001160755753517,0.02001160755753517
ctx:feature=button closure,item:material=100% polyester,feature×material,270,27600,-0.02001151442527771,0.02001151442527771
"ctx:material=polyester,spandex","item:material=polyester,spandex",material×material,278,2224,0.02001151069998741,0.02001151069998741
ctx:category=women fashion hoodies & sweatshirts,item:price=20_35,category×price,152,17920,0.020011506974697113,0.020011506974697113
ctx:feature=mesh,item:feature=mesh,feature×feature,542,4336,0.020011480897665024,0.020011480897665024
ctx:category=sleep & lounge robes,item:rating=4.5,category×rating,528,9216,-0.020011458545923233,0.020011458545923233
ctx:feature=imported,item:feature=100% synthetic,feature×feature,975,137456,-0.020011454820632935,0.020011454820632935
ctx:feature=100% synthetic,item:rating=3.0,feature×rating,273,37016,0.02001144178211689,0.02001144178211689
ctx:style=department: unisex-child,item:style=department: unisex-child,style×style,130,1040,0.020011406391859055,0.020011406391859055
ctx:feature=imported,item:popularity=10,feature×popularity,331,137456,0.02001139707863331,0.02001139707863331
ctx:category=earrings stud,item:price=missing,category×price,1288,17600,-0.02001139521598816,0.02001139521598816
ctx:category=shirts polos,item:material=100% cotton,category×material,232,7424,-0.02001139521598816,0.02001139521598816
ctx:category=shoes oxfords,item:feature=rubber sole,category×feature,712,14208,-0.02001139521598816,0.02001139521598816
ctx:category=shoes mules & clogs,item:feature=rubber sole,category×feature,688,14464,-0.02001138962805271,0.02001138962805271
ctx:category=tees & blouses tunics,item:price=20_35,category×price,176,26368,0.02001136913895607,0.02001136913895607
ctx:material=leather,item:price=10_20,material×price,745,223968,0.020011359825730324,0.020011359825730324
ctx:category=women leggings,item:rating=4.5,category×rating,376,13248,0.020011354237794876,0.020011354237794876
ctx:feature=no closure closure,item:feature=no closure closure,feature×feature,302,2416,0.020011328160762787,0.020011328160762787
ctx:category=tops & tees t-shirts,item:popularity=1,category×popularity,1576,32896,-0.02001122012734413,0.02001122012734413
